GENDER,AGE,EMPLOYMENT,STATE,REGION,EDUCATION,QA_M1,QA_M2,QA_M3,QA_M4,QA_M5,QA_M6,QA_M7,QA_M8,QB,QC,QD,Q1,Q2,Q3,Q4,Q5_M1,Q5_M2,Q5_M3,Q5_M4,Q5_M5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_M1,Q14_M2,Q14_M3,Q14_M4,Q14_M5,Q15,QE,QF,QG,QH,QI,QJ
Male,43,"	Work full-time ",Wisconsin,Midwest,"	Graduate or post-graduate work",Write and test code,Ensure that the data architecture will scale appropriately,Create data pipelines,Maintain data in ready-to-use formats,Put analytics into production,Maintain the distributed systems that execute data pipelines,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,All the time,5,5,Focusing too much time on finding and fixing errors,Fast pace of requests from stakeholders,Focusing too much on maintaining data pipelines and/or manual processes,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,5,5,5,500,$10 Million to under $25 Million,Information technology (IT) / software
Male,36,"	Work full-time ",Florida,South,"	Bachelor’s degree",Ensure that the data architecture will scale appropriately,Write and test code,Maintain the distributed systems that execute data pipelines,Maintain data in ready-to-use formats,"Develop, maintain, and optimize data systems to make data available for analysis",,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,20,25,Constantly playing catch up with stakeholder requests,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,Lack of feedback on the products delivered,,Agree somewhat,Often,Often,Very likely,"Yes, multiple times",Not very difficult,Very effectively,Very important,,,,,,Agree somewhat,5,7,10,800,$100 Million to under $250 Million,Manufacturing
Male,39,"	Work full-time ",Washington,West,"	Graduate or post-graduate work",Maintain data in ready-to-use formats,Write and test code,Maintain the distributed systems that execute data pipelines,Create data pipelines,Ensure that the data architecture will scale appropriately,"Develop, maintain, and optimize data systems to make data available for analysis",Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,Data Management Lead,Yes,We have partially implemented DataOps into our company’s data processes,We are confident they won’t break,Sometimes,40,30,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,Constantly playing catch up with stakeholder requests,Unreasonable requests from stakeholders,,Disagree strongly,Sometimes,Sometimes,Not very likely,"No, never",Not very difficult,Very effectively,Essential,Lack of the right skills among employees,Organization isn’t sure how to implement this,Difficulty communicating or engaging with other departments within company,Lack of knowledge around what DataOps is,Scale of incorporating DataOps is too large,Agree strongly,5,7,10,1500,$250 Million to under $500 Million,Information technology (IT) / software
Male,40,"	Work full-time ",Ohio,Midwest,"	Graduate or post-graduate work","Develop, maintain, and optimize data systems to make data available for analysis",Maintain the distributed systems that execute data pipelines,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Maintain data in ready-to-use formats,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Often,70,90,Lack of feedback on the products delivered,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,,,Agree somewhat,Often,All the time,Very likely,"Yes, multiple times",Not very difficult,Very effectively,Very important,,,,,,Agree strongly,9,8,16,700,$50 Million to under $100 Million,Information technology (IT) / software
Female,36,"	Work full-time ",Florida,South,"	Graduate or post-graduate work","Develop, maintain, and optimize data systems to make data available for analysis",Maintain the distributed systems that execute data pipelines,Write tests to ensure that bad data is detected and acted upon in production,Maintain data in ready-to-use formats,Put analytics into production,,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Sometimes,46,14,Fast pace of requests from stakeholders,,,,,Agree strongly,Rarely,Rarely,Somewhat likely,"No, never",Somewhat difficult,Very effectively,Very important,,,,,,Agree strongly,3,3,15,1000,$50 Million to under $100 Million,Consulting
Male,44,"	Work full-time ",Georgia,South,"	Graduate or post-graduate work","Develop, maintain, and optimize data systems to make data available for analysis",Write and test code,Create data pipelines,Maintain data in ready-to-use formats,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,All the time,70,70,Constantly playing catch up with stakeholder requests,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,5,5,5,500,$10 Million to under $25 Million,Information technology (IT) / software
Male,43,"	Work full-time ",Colorado,West,"	Bachelor’s degree",Maintain data in ready-to-use formats,Ensure that the data architecture will scale appropriately,Create data pipelines,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Maintain the distributed systems that execute data pipelines,Write and test code,Write tests to ensure that bad data is detected and acted upon in production,,Data Engineer,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Often,45,35,I have never felt burnt out from my job,,,,,Agree strongly,All the time,Often,Not very likely,"Yes, multiple times",Somewhat difficult,Somewhat effectively,Essential,,,,,,Agree strongly,14,16,23,550,$50 Million to under $100 Million,Construction
Male,41,"	Work full-time ",Pennsylvania,Northeast,"	Graduate or post-graduate work",Maintain the distributed systems that execute data pipelines,Write tests to ensure that bad data is detected and acted upon in production,Create data pipelines,Maintain data in ready-to-use formats,"Develop, maintain, and optimize data systems to make data available for analysis",,,,Data Engineer,Yes,We have partially implemented DataOps into our company’s data processes,We are confident they won’t break,Sometimes,15,15,Lack of feedback on the products delivered,Unreasonable requests from stakeholders,Constantly playing catch up with stakeholder requests,Fast pace of requests from stakeholders,,Disagree somewhat,Sometimes,Sometimes,Not very likely,"Yes, once",Not very difficult,Somewhat effectively,Very important,Lack of buy-in from company leadership or other stakeholders,We haven't budgeted or don't have the budget for this,Difficulty communicating or engaging with other departments within company,,,Agree somewhat,6,4,50,1700,$25 Million to under $50 Million,Education
Male,38,"	Work full-time ",Florida,South,"	Bachelor’s degree",Write and test code,"Develop, maintain, and optimize data systems to make data available for analysis",Ensure that the data architecture will scale appropriately,Maintain data in ready-to-use formats,Put analytics into production,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Maintain the distributed systems that execute data pipelines,Create data pipelines,Big Data Engineer,Yes,We have partially implemented DataOps into our company’s data processes,We are confident they won’t break,All the time,27,19,Constantly playing catch up with stakeholder requests,Lack of feedback on the products delivered,Fast pace of requests from stakeholders,Focusing too much on maintaining data pipelines and/or manual processes,Focusing too much time on finding and fixing errors,Agree somewhat,All the time,All the time,Very likely,"Yes, multiple times",Somewhat difficult,Somewhat effectively,Essential,Difficulty communicating or engaging with other departments within company,Too busy to make it a priority,Lack of buy-in from company leadership or other stakeholders,Scale of incorporating DataOps is too large,Organization isn’t sure how to implement this,Agree somewhat,13,10,13,985,$50 Million to under $100 Million,Retail
Male,43,"	Work full-time ",Wisconsin,Midwest,"	Graduate or post-graduate work",Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,"Develop, maintain, and optimize data systems to make data available for analysis",Maintain the distributed systems that execute data pipelines,Put analytics into production,Create data pipelines,Ensure that the data architecture will scale appropriately,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,20,60,Constantly playing catch up with stakeholder requests,Lack of feedback on the products delivered,Unreasonable requests from stakeholders,Focusing too much time on finding and fixing errors,Fast pace of requests from stakeholders,Agree strongly,All the time,Often,Somewhat likely,"Yes, multiple times",Not very difficult,Somewhat effectively,Very important,,,,,,Agree somewhat,10,12,12,1000,$250 Million to under $500 Million,Information technology (IT) / software
Female,56,"	Work full-time ",New York,Northeast,"	Bachelor’s degree",Maintain the distributed systems that execute data pipelines,"Develop, maintain, and optimize data systems to make data available for analysis",Ensure that the data architecture will scale appropriately,Put analytics into production,Maintain data in ready-to-use formats,Create data pipelines,,,Data Engineer,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Often,35,40,Focusing too much on maintaining data pipelines and/or manual processes,Focusing too much time on finding and fixing errors,Unreasonable requests from stakeholders,Lack of feedback on the products delivered,,Agree strongly,Sometimes,Often,Not very likely,"Yes, once",Somewhat difficult,Very effectively,Essential,,,,,,Agree strongly,15,20,30,300,$100 Million to under $250 Million,Manufacturing
Female,30,"	Work full-time ",Maryland,South,"	Bachelor’s degree",Ensure that the data architecture will scale appropriately,"Develop, maintain, and optimize data systems to make data available for analysis",Create data pipelines,Put analytics into production,Maintain the distributed systems that execute data pipelines,Write tests to ensure that bad data is detected and acted upon in production,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Maintain data in ready-to-use formats,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Often,30,20,Lack of feedback on the products delivered,Focusing too much time on finding and fixing errors,Unreasonable requests from stakeholders,Fast pace of requests from stakeholders,,Agree strongly,Often,All the time,Somewhat likely,"Yes, multiple times",Somewhat difficult,Very effectively,Essential,,,,,,Agree strongly,7,5,20,300,$25 Million to under $50 Million,Information technology (IT) / software
Male,36,"	Work full-time ",Arkansas,South,"	Bachelor’s degree",Maintain data in ready-to-use formats,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Ensure that the data architecture will scale appropriately,"Develop, maintain, and optimize data systems to make data available for analysis",,,,,Big Data Engineer,Yes,We have partially implemented DataOps into our company’s data processes,We are confident they won’t break,Often,60,50,Focusing too much on maintaining data pipelines and/or manual processes,Lack of feedback on the products delivered,Fast pace of requests from stakeholders,Focusing too much time on finding and fixing errors,,Agree somewhat,Often,Often,Not very likely,"Yes, multiple times",Not very difficult,Somewhat effectively,Very important,Difficulty communicating or engaging with other departments within company,Lack of the right skills among employees,Organization isn’t sure how to implement this,Scale of incorporating DataOps is too large,Lack of buy-in from company leadership or other stakeholders,Agree somewhat,10,8,20,150000,$500 Million to under $1 Billion,Information technology (IT) / software
Male,37,"	Work full-time ",Louisiana,South,"	Bachelor’s degree",Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Write tests to ensure that bad data is detected and acted upon in production,Write and test code,,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,15,20,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,Lack of feedback on the products delivered,Constantly playing catch up with stakeholder requests,Agree strongly,Often,Sometimes,Very likely,"Yes, multiple times",Not very difficult,Very effectively,Essential,,,,,,Agree strongly,4,6,9,450,$50 Million to under $100 Million,Banking
Male,37,"	Work full-time ",Louisiana,South,"	Graduate or post-graduate work",Maintain data in ready-to-use formats,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Write tests to ensure that bad data is detected and acted upon in production,Write and test code,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,15,20,Focusing too much on maintaining data pipelines and/or manual processes,Lack of feedback on the products delivered,Constantly playing catch up with stakeholder requests,Fast pace of requests from stakeholders,,Agree strongly,Often,Sometimes,Very likely,"Yes, multiple times",Not at all difficult,Very effectively,Essential,,,,,,Agree strongly,4,6,11,450,$50 Million to under $100 Million,Banking
Male,44,"	Work full-time ",California,West,"	Graduate or post-graduate work",Ensure that the data architecture will scale appropriately,Put analytics into production,Create data pipelines,Maintain the distributed systems that execute data pipelines,Maintain data in ready-to-use formats,Write and test code,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,All the time,5,5,Focusing too much time on finding and fixing errors,Fast pace of requests from stakeholders,Focusing too much on maintaining data pipelines and/or manual processes,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,5,5,5,500,$10 Million to under $25 Million,Information technology (IT) / software
Male,43,"	Work full-time ",Washington,West,"	Graduate or post-graduate work",Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,"Develop, maintain, and optimize data systems to make data available for analysis",Maintain data in ready-to-use formats,Maintain the distributed systems that execute data pipelines,Ensure that the data architecture will scale appropriately,Put analytics into production,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Often,100,100,Constantly playing catch up with stakeholder requests,Lack of feedback on the products delivered,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,Agree somewhat,Often,Sometimes,Not very likely,"No, never",We do not have formal data governance policies in place,Very effectively,Very important,,,,,,Agree strongly,14,14,18,580,$100 Million to under $250 Million,Manufacturing
Male,40,"	Work full-time ",California,West,"	Graduate or post-graduate work",Ensure that the data architecture will scale appropriately,Create data pipelines,Put analytics into production,Write and test code,Maintain the distributed systems that execute data pipelines,Maintain data in ready-to-use formats,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,All the time,70,60,Lack of feedback on the products delivered,Constantly playing catch up with stakeholder requests,Focusing too much time on finding and fixing errors,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,5,5,5,500,$10 Million to under $25 Million,Information technology (IT) / software
Male,37,"	Work full-time ",Virginia,South,"	Bachelor’s degree",Maintain the distributed systems that execute data pipelines,Write tests to ensure that bad data is detected and acted upon in production,Write and test code,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,30,40,Focusing too much on maintaining data pipelines and/or manual processes,Lack of feedback on the products delivered,Fast pace of requests from stakeholders,Focusing too much time on finding and fixing errors,,Agree strongly,Often,Sometimes,Very likely,"Yes, multiple times",Very difficult,Somewhat effectively,Very important,,,,,,Agree strongly,4,6,11,550,$50 Million to under $100 Million,Accounting
Male,41,"	Work full-time ",Texas,South,"	Bachelor’s degree",Create data pipelines,Maintain the distributed systems that execute data pipelines,Ensure that the data architecture will scale appropriately,Write and test code,Maintain data in ready-to-use formats,Put analytics into production,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,All the time,60,70,Fast pace of requests from stakeholders,Focusing too much on maintaining data pipelines and/or manual processes,Constantly playing catch up with stakeholder requests,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,5,5,5,5,$10 Million to under $25 Million,Information technology (IT) / software
Male,37,"	Work full-time ",Wisconsin,Midwest,"	Graduate or post-graduate work",Ensure that the data architecture will scale appropriately,"Develop, maintain, and optimize data systems to make data available for analysis",Write tests to ensure that bad data is detected and acted upon in production,Write and test code,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,75,45,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,Constantly playing catch up with stakeholder requests,,,Agree strongly,All the time,Often,Very likely,"Yes, multiple times",Somewhat difficult,Very effectively,Very important,,,,,,Agree strongly,5,4,30,1000,$25 Million to under $50 Million,Information technology (IT) / software
Male,36,"	Work full-time ",Missouri,Midwest,"	Graduate or post-graduate work",Write tests to ensure that bad data is detected and acted upon in production,Write and test code,Maintain the distributed systems that execute data pipelines,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,30,40,Fast pace of requests from stakeholders,Lack of feedback on the products delivered,Focusing too much on maintaining data pipelines and/or manual processes,Focusing too much time on finding and fixing errors,,Agree strongly,Often,Often,Very likely,"Yes, multiple times",Somewhat difficult,Very effectively,Very important,,,,,,Agree strongly,6,11,15,550,$50 Million to under $100 Million,Accounting
Male,36,"	Work full-time ",Florida,South,"	Graduate or post-graduate work","Develop, maintain, and optimize data systems to make data available for analysis",Create data pipelines,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,Often,30,30,Fast pace of requests from stakeholders,,,,,Agree strongly,Often,Often,Very likely,"Yes, multiple times",Somewhat difficult,Very effectively,Very important,,,,,,Agree strongly,6,11,11,1000,$500 Million to under $1 Billion,Accounting
Male,40,"	Work full-time ",California,West,"	Bachelor’s degree",Create data pipelines,Write tests to ensure that bad data is detected and acted upon in production,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Write and test code,"Develop, maintain, and optimize data systems to make data available for analysis",,,,Data & Analytics Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,All the time,70,60,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,Constantly playing catch up with stakeholder requests,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,5,5,5,500,$10 Million to under $25 Million,Information technology (IT) / software
Male,37,"	Work full-time ",California,West,"	Bachelor’s degree","Develop, maintain, and optimize data systems to make data available for analysis",Ensure that the data architecture will scale appropriately,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Put analytics into production,Create data pipelines,Write tests to ensure that bad data is detected and acted upon in production,,,Data Management Lead,Yes,We have partially implemented DataOps into our company’s data processes,We are confident they won’t break,Rarely,20,15,Focusing too much on maintaining data pipelines and/or manual processes,Fast pace of requests from stakeholders,,,,Disagree somewhat,Rarely,Sometimes,Not very likely,"Yes, once",Not very difficult,Somewhat effectively,Essential,Difficulty communicating or engaging with other departments within company,,,,,Agree strongly,14,7,31,777,$250 Million to under $500 Million,Science / engineering
Male,38,"	Work full-time ",Florida,South,"	Graduate or post-graduate work",Write and test code,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Maintain the distributed systems that execute data pipelines,Write tests to ensure that bad data is detected and acted upon in production,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,30,40,Lack of feedback on the products delivered,Fast pace of requests from stakeholders,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,,Agree strongly,Often,All the time,Somewhat likely,"Yes, multiple times",Somewhat difficult,Very effectively,Essential,,,,,,Agree somewhat,6,10,12,550,$50 Million to under $100 Million,Accounting
Male,40,"	Work full-time ",California,West,"	Graduate or post-graduate work",Maintain data in ready-to-use formats,Write tests to ensure that bad data is detected and acted upon in production,"Develop, maintain, and optimize data systems to make data available for analysis",,,,,,Big Data Engineer,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We are confident they won’t break,All the time,5,0,Fast pace of requests from stakeholders,Focusing too much time on finding and fixing errors,Focusing too much on maintaining data pipelines and/or manual processes,,,Agree strongly,All the time,All the time,Very likely,"Yes, multiple times",Very difficult,Very effectively,Very important,,,,,,Agree strongly,10,10,10,2000,$100 Million to under $250 Million,Information technology (IT) / software
Male,36,"	Work full-time ",Florida,South,"	Graduate or post-graduate work",Write tests to ensure that bad data is detected and acted upon in production,Write and test code,Maintain the distributed systems that execute data pipelines,Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,30,40,Fast pace of requests from stakeholders,,,,,Agree strongly,Often,Often,Somewhat likely,"Yes, multiple times",Somewhat difficult,Very effectively,Very important,,,,,,Agree somewhat,4,4,11,550,Less than $10 Million,Accounting
Male,36,"	Work full-time ",Wisconsin,Midwest,"	Graduate or post-graduate work",Manage continuous integration and continuous delivery/deployment (CI/CD) of new data products,Write tests to ensure that bad data is detected and acted upon in production,Write and test code,Maintain the distributed systems that execute data pipelines,,,,,Data Management Lead,Yes,We have mostly or fully implemented DataOps into our company’s data processes,We frequently hope and pray that things don’t break,Often,30,30,Focusing too much time on finding and fixing errors,Fast pace of requests from stakeholders,,,,Agree strongly,Often,Often,Very likely,"Yes, once",Very difficult,Somewhat effectively,Very important,,,,,,Agree strongly,6,6,12,550,$50 Million to under $100 Million,Accounting
